"","Amphi.mass","Hemi.mass","Spider.mass","Snail.mass","num.Orthoptera","num.Hemiptera","num.Lepidoptera","num.Diptera","num.Hymenoptera","num.Coleoptera","num.Thysanoptera","num.Amphipoda","num.Snail","num.Isopoda","num.Spider","num.Pseudoscorpionida"
"Amphi.mass",1,0.0392112181324544,0.421213183362157,0.328144671334744,-0.0707177211010982,0.00772770911177129,-0.00144830133563872,0.241378773605775,0.199555574605892,0.321918365948254,0.0983905560279012,0.845643896789949,0.317000087769214,0.118964067970456,0.466792741866238,0.0704830301895813
"Hemi.mass",0.0392112181324544,1,0.232597517661846,0.0119402209896349,0.305504217770209,0.909261450909976,-0.00373387468949444,0.494381953125445,0.132997872625401,0.0491591219956263,0.190448011034729,0.153987157973496,0.0270265783921303,0.333013634535605,0.468621669958401,-0.0376277533673821
"Spider.mass",0.421213183362157,0.232597517661846,1,0.0855020563739171,-0.0439530165801578,0.302297914110377,0.00201135232591028,0.275725345101332,0.176394460117525,0.244123811165359,0.111160582794778,0.373508672157043,0.0808343001713638,0.295883114917782,0.67340722538187,0.103456136204874
"Snail.mass",0.328144671334744,0.0119402209896349,0.0855020563739171,1,-0.0445231484993723,-0.0402047466813865,-0.065742057861662,0.0610307466758591,0.106236549379363,0.154279821787906,0.0280433177581264,0.268852175197454,0.95540871867218,0.188077604620643,0.159132465595178,-0.0134124806928851
"num.Orthoptera",-0.0707177211010982,0.305504217770209,-0.0439530165801578,-0.0445231484993723,1,0.331230724116214,0.0189231290503157,0.262308499818231,0.100311421705187,-0.0330238390041124,-0.00938527647440111,0.0505289656319368,-0.0357657522180547,0.194879452948126,0.131804564977482,-0.128160600530035
"num.Hemiptera",0.00772770911177129,0.909261450909976,0.302297914110377,-0.0402047466813865,0.331230724116214,1,-0.0111815553793665,0.483296757880544,0.200510002434644,0.115751911652452,0.12193817170703,0.144773767080807,-0.0156932222223927,0.361746168884789,0.542852240691981,-0.0422362944809041
"num.Lepidoptera",-0.00144830133563872,-0.00373387468949444,0.00201135232591028,-0.065742057861662,0.0189231290503157,-0.0111815553793665,1,-0.0876313717968474,-0.0147530365259389,0.0146548560292448,-0.0214346600283929,-0.04564381648059,-0.0653155299859789,0.043648723901277,-0.0412895290972731,-0.0198770072827629
"num.Diptera",0.241378773605775,0.494381953125445,0.275725345101332,0.0610307466758591,0.262308499818231,0.483296757880544,-0.0876313717968474,1,0.258284852753466,0.303842548272528,0.141994580218817,0.357073001627582,0.0853047175357853,0.182610222163101,0.530359843506921,0.0968182053784377
"num.Hymenoptera",0.199555574605892,0.132997872625401,0.176394460117525,0.106236549379363,0.100311421705187,0.200510002434644,-0.0147530365259389,0.258284852753466,1,0.185451168124184,0.101205716473281,0.238243198690561,0.116013886086185,0.190738491192453,0.298511927441347,-0.00107883934094822
"num.Coleoptera",0.321918365948254,0.0491591219956263,0.244123811165359,0.154279821787906,-0.0330238390041124,0.115751911652452,0.0146548560292448,0.303842548272528,0.185451168124184,1,0.0620825823689182,0.388858700506851,0.143460866145014,0.172028821565541,0.303553703427984,-0.0392900109052485
"num.Thysanoptera",0.0983905560279012,0.190448011034729,0.111160582794778,0.0280433177581264,-0.00938527647440111,0.12193817170703,-0.0214346600283929,0.141994580218817,0.101205716473281,0.0620825823689182,1,0.139728558786783,0.0109655792327672,0.125726822089061,0.180523690383751,-0.0558134530469166
"num.Amphipoda",0.845643896789949,0.153987157973496,0.373508672157043,0.268852175197454,0.0505289656319368,0.144773767080807,-0.04564381648059,0.357073001627582,0.238243198690561,0.388858700506851,0.139728558786783,1,0.263719643805299,0.159850188880952,0.561144083128035,0.0880713131061632
"num.Snail",0.317000087769214,0.0270265783921303,0.0808343001713638,0.95540871867218,-0.0357657522180547,-0.0156932222223927,-0.0653155299859789,0.0853047175357853,0.116013886086185,0.143460866145014,0.0109655792327672,0.263719643805299,1,0.196003942850118,0.170125188137324,-0.00870924608555026
"num.Isopoda",0.118964067970456,0.333013634535605,0.295883114917782,0.188077604620643,0.194879452948126,0.361746168884789,0.043648723901277,0.182610222163101,0.190738491192453,0.172028821565541,0.125726822089061,0.159850188880952,0.196003942850118,1,0.346884154145817,-0.20279448356109
"num.Spider",0.466792741866238,0.468621669958401,0.67340722538187,0.159132465595178,0.131804564977482,0.542852240691981,-0.0412895290972731,0.530359843506921,0.298511927441347,0.303553703427984,0.180523690383751,0.561144083128035,0.170125188137324,0.346884154145817,1,0.106256322752959
"num.Pseudoscorpionida",0.0704830301895813,-0.0376277533673821,0.103456136204874,-0.0134124806928851,-0.128160600530035,-0.0422362944809041,-0.0198770072827629,0.0968182053784377,-0.00107883934094822,-0.0392900109052485,-0.0558134530469166,0.0880713131061632,-0.00870924608555026,-0.20279448356109,0.106256322752959,1
